Name	SWScore	BitScore	E-value	SeqIndex
"sp|A4IW23|ATPG_FRATW ATP synthase gamma chain OS=Francisella tularensis subsp. tularensis (strain WY96-3418) OX=418136 GN=atpG PE=3 SV=1"	52.0	41	0.02488	39437
"sp|Q8WWL7|CCNB3_HUMAN G2/mitotic-specific cyclin-B3 OS=Homo sapiens OX=9606 GN=CCNB3 PE=1 SV=2"	52.0	41	0.02488	58727
"sp|Q5F3T7|CELF1_CHICK CUGBP Elav-like family member 1 OS=Gallus gallus OX=9031 GN=CELF1 PE=1 SV=2"	52.0	41	0.02488	61414
"sp|Q09003|COIL_XENLA Coilin OS=Xenopus laevis OX=8355 GN=coil PE=2 SV=2"	52.0	41	0.02488	76145
"sp|Q68XM0|DAPB_RICTY 4-hydroxy-tetrahydrodipicolinate reductase OS=Rickettsia typhi (strain ATCC VR-144 / Wilmington) OX=257363 GN=dapB PE=3 SV=1"	52.0	41	0.02488	93110
"sp|Q8BW94|DYH3_MOUSE Dynein axonemal heavy chain 3 OS=Mus musculus OX=10090 GN=Dnah3 PE=1 SV=2"	52.0	41	0.02488	114037
"sp|C0HBB2|GLMP_SALSA Glycosylated lysosomal membrane protein OS=Salmo salar OX=8030 GN=glmp PE=2 SV=1"	52.0	41	0.02488	158315
"sp|P45442|LAG2_CAEEL Protein lag-2 OS=Caenorhabditis elegans OX=6239 GN=lag-2 PE=1 SV=1"	52.0	41	0.02488	218439
"sp|A1CBT0|MDM10_ASPCL Mitochondrial distribution and morphology protein 10 OS=Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107) OX=344612 GN=mdmB PE=3 SV=1"	52.0	41	0.02488	240508
"sp|P07572|POL_MPMV Gag-Pro-Pol polyprotein OS=Mason-Pfizer monkey virus OX=11855 GN=gag-pro-pol PE=1 SV=2"	52.0	41	0.02488	323942
"sp|P21372|PRP5_YEAST Pre-mRNA-processing ATP-dependent RNA helicase PRP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRP5 PE=1 SV=1"	52.0	41	0.02488	330578
"sp|P42557|S19A1_CRIGR Reduced folate transporter OS=Cricetulus griseus OX=10029 GN=SLC19A1 PE=2 SV=2"	52.0	41	0.02488	440211
"sp|Q88TY1|SDHD_LACPL Probable D-serine dehydratase OS=Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) OX=220668 GN=dsdA PE=3 SV=1"	52.0	41	0.02488	444878
"sp|Q0CL79|SEPH_ASPTN Cytokinesis protein sepH OS=Aspergillus terreus (strain NIH 2624 / FGSC A1156) OX=341663 GN=sepH PE=3 SV=2"	52.0	41	0.02488	448446
"sp|Q54U31|SHKD_DICDI Dual specificity protein kinase shkD OS=Dictyostelium discoideum OX=44689 GN=shkD PE=3 SV=1"	52.0	41	0.02488	450567
"sp|Q5ZYX7|SIDE_LEGPH Ubiquitinating enzyme SidE OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) OX=272624 GN=sidE PE=1 SV=2"	52.0	41	0.02488	451059
"sp|Q04JM7|SYGA_STRP2 Glycine--tRNA ligase alpha subunit OS=Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466) OX=373153 GN=glyQ PE=3 SV=1"	52.0	41	0.02488	470608
"sp|B5E643|SYGA_STRP4 Glycine--tRNA ligase alpha subunit OS=Streptococcus pneumoniae serotype 19F (strain G54) OX=512566 GN=glyQ PE=3 SV=1"	52.0	41	0.02488	470610
"sp|C1C871|SYGA_STRP7 Glycine--tRNA ligase alpha subunit OS=Streptococcus pneumoniae (strain 70585) OX=488221 GN=glyQ PE=3 SV=1"	52.0	41	0.02488	470612
"sp|B1ICQ6|SYGA_STRPI Glycine--tRNA ligase alpha subunit OS=Streptococcus pneumoniae (strain Hungary19A-6) OX=487214 GN=glyQ PE=3 SV=1"	52.0	41	0.02488	470619
"sp|B8ZL21|SYGA_STRPJ Glycine--tRNA ligase alpha subunit OS=Streptococcus pneumoniae (strain ATCC 700669 / Spain 23F-1) OX=561276 GN=glyQ PE=3 SV=1"	52.0	41	0.02488	470620
"sp|Q97PW5|SYGA_STRPN Glycine--tRNA ligase alpha subunit OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=glyQ PE=3 SV=1"	52.0	41	0.02488	470622
"sp|B2IQU2|SYGA_STRPS Glycine--tRNA ligase alpha subunit OS=Streptococcus pneumoniae (strain CGSP14) OX=516950 GN=glyQ PE=3 SV=1"	52.0	41	0.02488	470624
"sp|Q8DP65|SYGA_STRR6 Glycine--tRNA ligase alpha subunit OS=Streptococcus pneumoniae (strain ATCC BAA-255 / R6) OX=171101 GN=glyQ PE=3 SV=1"	52.0	41	0.02488	470626
"sp|C1CF58|SYGA_STRZJ Glycine--tRNA ligase alpha subunit OS=Streptococcus pneumoniae (strain JJA) OX=488222 GN=glyQ PE=3 SV=1"	52.0	41	0.02488	470635
"sp|C1CQP3|SYGA_STRZT Glycine--tRNA ligase alpha subunit OS=Streptococcus pneumoniae (strain Taiwan19F-14) OX=487213 GN=glyQ PE=3 SV=1"	52.0	41	0.02488	470637
"sp|Q4L5P4|SYI_STAHJ Isoleucine--tRNA ligase OS=Staphylococcus haemolyticus (strain JCSC1435) OX=279808 GN=ileS PE=3 SV=1"	52.0	41	0.02488	472333
"sp|A4FN47|SYR_SACEN Arginine--tRNA ligase OS=Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338) OX=405948 GN=argS PE=3 SV=1"	52.0	41	0.02488	476176
"sp|Q5HNN9|SYV_STAEQ Valine--tRNA ligase OS=Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A) OX=176279 GN=valS PE=3 SV=1"	52.0	41	0.02488	478273
"sp|Q8CS83|SYV_STAES Valine--tRNA ligase OS=Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200) OX=176280 GN=valS PE=3 SV=1"	52.0	41	0.02488	478274
"sp|Q89AE1|TLDD_BUCBP Metalloprotease TldD homolog OS=Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp) OX=224915 GN=tldD PE=3 SV=1"	52.0	41	0.02488	491330
"sp|O42130|TOP2A_CHICK DNA topoisomerase 2-alpha OS=Gallus gallus OX=9031 GN=TOP2A PE=2 SV=2"	52.0	41	0.02488	494086
"sp|Q7VFC6|Y1751_HELHP UPF0102 protein HH_1751 OS=Helicobacter hepaticus (strain ATCC 51449 / 3B1) OX=235279 GN=HH_1751 PE=3 SV=1"	52.0	41	0.02488	538759
"sp|Q5XDQ1|Y327_STRP6 Uncharacterized membrane protein M6_Spy0327 OS=Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394) OX=286636 GN=M6_Spy0327 PE=3 SV=1"	52.0	41	0.02488	544636
"sp|Q8P2D4|Y408_STRP8 Uncharacterized membrane protein spyM18_0408 OS=Streptococcus pyogenes serotype M18 (strain MGAS8232) OX=186103 GN=spyM18_0408 PE=3 SV=1"	52.0	41	0.02488	546582
"sp|O13818|YEE2_SCHPO Uncharacterized PH domain-containing protein C19A8.02 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC19A8.02 PE=4 SV=1"	52.0	41	0.02488	558669
"sp|A4J872|ADEC_DESRM Adenine deaminase OS=Desulforamulus reducens (strain ATCC BAA-1160 / DSM 100696 / MI-1) OX=349161 GN=ade PE=3 SV=1"	51.0	41	0.02905	10844
"sp|F4JSZ5|BIG1_ARATH Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Arabidopsis thaliana OX=3702 GN=BIG1 PE=2 SV=1"	51.0	41	0.02905	45149
"sp|P43571|BST1_YEAST GPI inositol-deacylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BST1 PE=1 SV=1"	51.0	41	0.02905	49109
"sp|A0A481WNM8|CLAC_PENCR Enoyl-CoA isomerase/hydratase claC OS=Penicillium crustosum OX=36656 GN=claC PE=3 SV=1"	51.0	41	0.02905	68280
"sp|P52387|CVC2_HHV6U Capsid vertex component 2 OS=Human herpesvirus 6A (strain Uganda-1102) OX=10370 GN=CVC2 PE=3 SV=1"	51.0	41	0.02905	85346
"sp|P52537|CVC2_HHV6Z Capsid vertex component 2 OS=Human herpesvirus 6B (strain Z29) OX=36351 GN=CVC2 PE=3 SV=1"	51.0	41	0.02905	85347
"sp|Q84VY5|DPNP4_ARATH Probable 3'(2'),5'-bisphosphate nucleotidase 4 OS=Arabidopsis thaliana OX=3702 GN=SAL4 PE=2 SV=1"	51.0	41	0.02905	108924
"sp|F1QZ88|E2F8_DANRE Transcription factor E2F8 OS=Danio rerio OX=7955 GN=e2f8 PE=3 SV=1"	51.0	41	0.02905	114509
"sp|A6QLD5|F124B_BOVIN Protein FAM124B OS=Bos taurus OX=9913 GN=FAM124B PE=2 SV=1"	51.0	41	0.02905	129369
"sp|A2SKF8|G6PI_METPP Glucose-6-phosphate isomerase OS=Methylibium petroleiphilum (strain ATCC BAA-1232 / LMG 22953 / PM1) OX=420662 GN=pgi PE=3 SV=1"	51.0	41	0.02905	147518
"sp|A0A0U1RPR8|GUC2D_MOUSE Guanylate cyclase D OS=Mus musculus OX=10090 GN=Gucy2d PE=2 SV=1"	51.0	41	0.02905	171056
"sp|A4YDR9|HBCL2_METS5 4-hydroxybutyrate--CoA ligase 2 OS=Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2) OX=399549 GN=Msed_0394 PE=1 SV=1"	51.0	41	0.02905	174341
"sp|Q9W539|HR4_DROME Hormone receptor 4 OS=Drosophila melanogaster OX=7227 GN=Hr4 PE=1 SV=4"	51.0	41	0.02905	186644
"sp|Q40468|IF415_TOBAC Eukaryotic initiation factor 4A-15 OS=Nicotiana tabacum OX=4097 PE=2 SV=1"	51.0	41	0.02905	196403
"sp|Q0VSD8|ISPH_ALCBS 4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Alcanivorax borkumensis (strain ATCC 700651 / DSM 11573 / NCIMB 13689 / SK2) OX=393595 GN=ispH PE=3 SV=1"	51.0	41	0.02905	205433
"sp|Q8EWZ9|LEPA_MALP2 Elongation factor 4 OS=Malacoplasma penetrans (strain HF-2) OX=272633 GN=lepA PE=3 SV=1"	51.0	41	0.02905	220831
"sp|Q3U1D0|LINES_MOUSE Protein Lines homolog 1 OS=Mus musculus OX=10090 GN=Lins1 PE=1 SV=2"	51.0	41	0.02905	225272
"sp|Q54U63|LVSC_DICDI BEACH domain-containing protein lvsC OS=Dictyostelium discoideum OX=44689 GN=lvsC PE=4 SV=2"	51.0	41	0.02905	233676
"sp|A0A0B5LB55|MPAH2_PENBR Type I acyl-CoA thioesterase mpaH' OS=Penicillium brevicompactum OX=5074 GN=mpaH' PE=1 SV=2"	51.0	41	0.02905	255013
"sp|F1DBB4|MPAH_PENBR Type I acyl-CoA thioesterase mpaH OS=Penicillium brevicompactum OX=5074 GN=mpaH PE=1 SV=1"	51.0	41	0.02905	255014
"sp|Q9WTM4|NF2L3_MOUSE Nuclear factor erythroid 2-related factor 3 OS=Mus musculus OX=10090 GN=Nfe2l3 PE=1 SV=1"	51.0	41	0.02905	277772
"sp|A0QIQ1|NRDR_MYCA1 Transcriptional repressor NrdR OS=Mycobacterium avium (strain 104) OX=243243 GN=nrdR PE=3 SV=1"	51.0	41	0.02905	284458
"sp|Q73W26|NRDR_MYCPA Transcriptional repressor NrdR OS=Mycolicibacterium paratuberculosis (strain ATCC BAA-968 / K-10) OX=262316 GN=nrdR PE=3 SV=1"	51.0	41	0.02905	284466
"sp|Q2KFH6|PAN3_PYRO7 PAN2-PAN3 deadenylation complex subunit PAN3 OS=Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) OX=242507 GN=PAN3 PE=3 SV=1"	51.0	41	0.02905	302814
"sp|P41705|PIF5_NPVAC Per os infectivity factor 5 OS=Autographa californica nuclear polyhedrosis virus OX=46015 GN=E56 PE=1 SV=1"	51.0	41	0.02905	317344
"sp|A7H2Q9|PYRB_CAMJD Aspartate carbamoyltransferase catalytic subunit OS=Campylobacter jejuni subsp. doylei (strain ATCC BAA-1458 / RM4099 / 269.97) OX=360109 GN=pyrB PE=3 SV=1"	51.0	41	0.02905	344883
"sp|Q9J593|RP147_FOWPN DNA-directed RNA polymerase 147 kDa polypeptide OS=Fowlpox virus (strain NVSL) OX=928301 GN=OPG105 PE=3 SV=1"	51.0	41	0.02905	405977
"sp|A4G1U9|RUVB_HERAR Holliday junction branch migration complex subunit RuvB OS=Herminiimonas arsenicoxydans OX=204773 GN=ruvB PE=3 SV=1"	51.0	41	0.02905	438803
"sp|Q0I1M3|RUVB_HISS1 Holliday junction branch migration complex subunit RuvB OS=Histophilus somni (strain 129Pt) OX=205914 GN=ruvB PE=3 SV=1"	51.0	41	0.02905	438804
"sp|B0UVK4|RUVB_HISS2 Holliday junction branch migration complex subunit RuvB OS=Histophilus somni (strain 2336) OX=228400 GN=ruvB PE=3 SV=1"	51.0	41	0.02905	438805
"sp|A6SUQ4|RUVB_JANMA Holliday junction branch migration complex subunit RuvB OS=Janthinobacterium sp. (strain Marseille) OX=375286 GN=ruvB PE=3 SV=1"	51.0	41	0.02905	438809
"sp|A0A1W6GW32|STPS1_SALMI (-)-5-epieremophilene synthase STPS1 OS=Salvia miltiorrhiza OX=226208 GN=STPS1 PE=1 SV=1"	51.0	41	0.02905	462984
"sp|Q9F724|SYE_CHLTE Glutamate--tRNA ligase OS=Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) OX=194439 GN=gltX PE=3 SV=2"	51.0	41	0.02905	468734
"sp|C0M953|SYGA_STRE4 Glycine--tRNA ligase alpha subunit OS=Streptococcus equi subsp. equi (strain 4047) OX=553482 GN=glyQ PE=3 SV=1"	51.0	41	0.02905	470601
"sp|B4U1J1|SYGA_STREM Glycine--tRNA ligase alpha subunit OS=Streptococcus equi subsp. zooepidemicus (strain MGCS10565) OX=552526 GN=glyQ PE=3 SV=1"	51.0	41	0.02905	470602
"sp|C0MDQ4|SYGA_STRS7 Glycine--tRNA ligase alpha subunit OS=Streptococcus equi subsp. zooepidemicus (strain H70) OX=553483 GN=glyQ PE=3 SV=1"	51.0	41	0.02905	470628
"sp|A1B3P3|SYM_PARDP Methionine--tRNA ligase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=metG PE=3 SV=1"	51.0	41	0.02905	474055
"sp|P75222|SYR_MYCPN Arginine--tRNA ligase OS=Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1) OX=272634 GN=argS PE=3 SV=1"	51.0	41	0.02905	476037
"sp|Q9UPU7|TBD2B_HUMAN TBC1 domain family member 2B OS=Homo sapiens OX=9606 GN=TBC1D2B PE=1 SV=2"	51.0	41	0.02905	482826
"sp|P52536|UL25_HHV6G Virion-packaging protein UL25 homolog (Fragment) OS=Human herpesvirus 6A (strain GS) OX=10369 GN=U50 PE=3 SV=1"	51.0	41	0.02905	513282
"sp|Q68DE3|USF3_HUMAN Basic helix-loop-helix domain-containing protein USF3 OS=Homo sapiens OX=9606 GN=USF3 PE=1 SV=4"	51.0	41	0.02905	518194
"sp|Q9NX94|WBP1L_HUMAN WW domain binding protein 1-like OS=Homo sapiens OX=9606 GN=WBP1L PE=1 SV=2"	51.0	41	0.02905	527890
"sp|P0C1G7|WBP1L_RAT WW domain binding protein 1-like OS=Rattus norvegicus OX=10116 GN=Wbp1l PE=3 SV=1"	51.0	41	0.02905	527892
"sp|O84075|Y072_CHLTR Putative zinc metalloprotease CT_072 OS=Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx) OX=272561 GN=CT_072 PE=3 SV=1"	51.0	41	0.02905	532764
"sp|Q5UQ96|YL540_MIMIV Putative ATP-dependent RNA helicase L540 OS=Acanthamoeba polyphaga mimivirus OX=212035 GN=MIMI_L540 PE=1 SV=1"	51.0	41	0.02905	563991
"sp|Q5UPQ1|YR762_MIMIV Uncharacterized protein R762 OS=Acanthamoeba polyphaga mimivirus OX=212035 GN=MIMI_R762 PE=4 SV=1"	51.0	41	0.02905	568235
"sp|Q8IH18|4ET_DROME Eukaryotic translation initiation factor 4E transporter OS=Drosophila melanogaster OX=7227 GN=4E-T PE=1 SV=1"	50.0	41	0.03390	2009
"sp|P39533|ACON2_YEAST Homocitrate dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACO2 PE=1 SV=1"	50.0	41	0.03390	7375
"sp|A4W0M6|ADDB_STRS2 ATP-dependent helicase/deoxyribonuclease subunit B OS=Streptococcus suis (strain 98HAH33) OX=391296 GN=rexB PE=3 SV=1"	50.0	41	0.03390	10633
"sp|A4VUD1|ADDB_STRSY ATP-dependent helicase/deoxyribonuclease subunit B OS=Streptococcus suis (strain 05ZYH33) OX=391295 GN=rexB PE=3 SV=1"	50.0	41	0.03390	10636
"sp|A6VWL7|ADE_MARMS Adenine deaminase OS=Marinomonas sp. (strain MWYL1) OX=400668 GN=Mmwyl1_1922 PE=3 SV=1"	50.0	41	0.03390	10962
"sp|P51481|ARRC_AQUCT Arrestin-C OS=Aquarana catesbeiana OX=8400 GN=arr3 PE=2 SV=1"	50.0	41	0.03390	29400
"sp|P51482|ARRC_LITPI Arrestin-C OS=Lithobates pipiens OX=8404 GN=arr3 PE=2 SV=1"	50.0	41	0.03390	29404
"sp|Q29449|AT8A1_BOVIN Probable phospholipid-transporting ATPase IA OS=Bos taurus OX=9913 GN=ATP8A1 PE=1 SV=2"	50.0	41	0.03390	32274
"sp|Q751Z4|ATG26_EREGS Sterol 3-beta-glucosyltransferase OS=Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) OX=284811 GN=ATG26 PE=3 SV=2"	50.0	41	0.03390	32862
"sp|A7X5R6|BAG6_ORNAN Large proline-rich protein BAG6 OS=Ornithorhynchus anatinus OX=9258 GN=BAG6 PE=3 SV=1"	50.0	41	0.03390	42489
"sp|H0WFA5|BUCKY_DANRE Bucky ball OS=Danio rerio OX=7955 GN=buc PE=1 SV=1"	50.0	41	0.03390	49569
"sp|Q54GG8|BZPI_DICDI Probable basic-leucine zipper transcription factor I OS=Dictyostelium discoideum OX=44689 GN=bzpI PE=3 SV=1"	50.0	41	0.03390	49958
"sp|B5X4E0|CALUB_SALSA Calumenin-B OS=Salmo salar OX=8030 GN=calub PE=2 SV=1"	50.0	41	0.03390	52577
"sp|P96738|CAPA_BACSU PGA biosynthesis protein CapA OS=Bacillus subtilis (strain 168) OX=224308 GN=capA PE=3 SV=1"	50.0	41	0.03390	53017
"sp|B2T6V1|CCA_PARPJ Multifunctional CCA protein OS=Paraburkholderia phytofirmans (strain DSM 17436 / LMG 22146 / PsJN) OX=398527 GN=cca PE=3 SV=1"	50.0	41	0.03390	57417
"sp|Q8BVC4|CCD68_MOUSE Coiled-coil domain-containing protein 68 OS=Mus musculus OX=10090 GN=Ccdc68 PE=2 SV=1"	50.0	41	0.03390	57770
"sp|P39058|CEFG_HAPCH Acetyl-CoA--deacetylcephalosporin C acetyltransferase OS=Hapsidospora chrysogena OX=5044 GN=CEFG PE=1 SV=1"	50.0	41	0.03390	61334
"sp|Q92879|CELF1_HUMAN CUGBP Elav-like family member 1 OS=Homo sapiens OX=9606 GN=CELF1 PE=1 SV=2"	50.0	41	0.03390	61416
"sp|P28659|CELF1_MOUSE CUGBP Elav-like family member 1 OS=Mus musculus OX=10090 GN=Celf1 PE=1 SV=2"	50.0	41	0.03390	61417
"sp|Q5R995|CELF1_PONAB CUGBP Elav-like family member 1 OS=Pongo abelii OX=9601 GN=CELF1 PE=2 SV=1"	50.0	41	0.03390	61418
"sp|Q2UKX8|CLU_ASPOR Clustered mitochondria protein homolog OS=Aspergillus oryzae (strain ATCC 42149 / RIB 40) OX=510516 GN=clu1 PE=3 SV=1"	50.0	41	0.03390	71219
"sp|Q99027|COMP_BACSU Sensor histidine kinase ComP OS=Bacillus subtilis (strain 168) OX=224308 GN=comP PE=2 SV=3"	50.0	41	0.03390	76470
"sp|P46634|CP7A1_CRIGR Cholesterol 7-alpha-monooxygenase OS=Cricetulus griseus OX=10029 GN=CYP7A1 PE=3 SV=1"	50.0	41	0.03390	79559
"sp|P18125|CP7A1_RAT Cytochrome P450 7A1 OS=Rattus norvegicus OX=10116 GN=Cyp7a1 PE=1 SV=1"	50.0	41	0.03390	79564
"sp|A6H7B5|CSN3_BOVIN COP9 signalosome complex subunit 3 OS=Bos taurus OX=9913 GN=COPS3 PE=2 SV=1"	50.0	41	0.03390	82471
"sp|Q5ZJF1|CSN3_CHICK COP9 signalosome complex subunit 3 OS=Gallus gallus OX=9031 GN=COPS3 PE=2 SV=1"	50.0	41	0.03390	82474
"sp|Q9UNS2|CSN3_HUMAN COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=3"	50.0	41	0.03390	82479
"sp|Q4R898|CSN3_MACFA COP9 signalosome complex subunit 3 OS=Macaca fascicularis OX=9541 GN=COPS3 PE=2 SV=1"	50.0	41	0.03390	82480
"sp|O88543|CSN3_MOUSE COP9 signalosome complex subunit 3 OS=Mus musculus OX=10090 GN=Cops3 PE=1 SV=3"	50.0	41	0.03390	82481
"sp|Q5RFS2|CSN3_PONAB COP9 signalosome complex subunit 3 OS=Pongo abelii OX=9601 GN=COPS3 PE=2 SV=1"	50.0	41	0.03390	82483
"sp|Q68FW9|CSN3_RAT COP9 signalosome complex subunit 3 OS=Rattus norvegicus OX=10116 GN=Cops3 PE=1 SV=1"	50.0	41	0.03390	82484
"sp|P45082|CYDD_HAEIN Glutathione/L-cysteine transport system ATP-binding/permease protein CydD OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=cydD PE=3 SV=1"	50.0	41	0.03390	88885
"sp|Q8RY22|DEGP7_ARATH Protease Do-like 7 OS=Arabidopsis thaliana OX=3702 GN=DEGP7 PE=2 SV=1"	50.0	41	0.03390	99260
"sp|P52027|DPO1_DEIRA DNA polymerase I OS=Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / CCUG 27074 / LMG 4051 / NBRC 15346 / NCIMB 9279 / VKM B-1422 / R1) OX=243230 GN=polA PE=3 SV=2"	50.0	41	0.03390	108945
"sp|P13550|EFG_ARTPT Elongation factor G OS=Arthrospira platensis OX=118562 GN=fusA PE=3 SV=1"	50.0	41	0.03390	116951
"sp|A0CRL1|EFTS1_PARTE Elongation factor Ts, mitochondrial 1 OS=Paramecium tetraurelia OX=5888 GN=GSPATT00009743001 PE=3 SV=1"	50.0	41	0.03390	118557
"sp|B3NN00|EIF3K_DROER Eukaryotic translation initiation factor 3 subunit K OS=Drosophila erecta OX=7220 GN=GG22131 PE=3 SV=1"	50.0	41	0.03390	121205
"sp|Q92GH4|END3_RICCN Endonuclease III OS=Rickettsia conorii (strain ATCC VR-613 / Malish 7) OX=272944 GN=nth PE=3 SV=1"	50.0	41	0.03390	122198
"sp|Q6DDK2|FADS2_XENLA Fatty acid desaturase 2 OS=Xenopus laevis OX=8355 GN=fads2 PE=2 SV=1"	50.0	41	0.03390	132663
"sp|S0EEY3|FUS1_GIBF5 Fusarin C synthetase OS=Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) OX=1279085 GN=FUS1 PE=1 SV=1"	50.0	41	0.03390	145962
"sp|A7FX54|GLSA_CLOB1 Glutaminase OS=Clostridium botulinum (strain ATCC 19397 / Type A) OX=441770 GN=glsA PE=3 SV=1"	50.0	41	0.03390	161087
"sp|C3L2L2|GLSA_CLOB6 Glutaminase OS=Clostridium botulinum (strain 657 / Type Ba4) OX=515621 GN=glsA PE=3 SV=1"	50.0	41	0.03390	161088
"sp|A5I5P4|GLSA_CLOBH Glutaminase OS=Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A) OX=441771 GN=glsA PE=3 SV=1"	50.0	41	0.03390	161089
"sp|C1FUY9|GLSA_CLOBJ Glutaminase OS=Clostridium botulinum (strain Kyoto / Type A2) OX=536232 GN=glsA PE=3 SV=1"	50.0	41	0.03390	161090
"sp|B1IKM0|GLSA_CLOBK Glutaminase OS=Clostridium botulinum (strain Okra / Type B1) OX=498213 GN=glsA PE=3 SV=1"	50.0	41	0.03390	161091
"sp|A7GH26|GLSA_CLOBL Glutaminase OS=Clostridium botulinum (strain Langeland / NCTC 10281 / Type F) OX=441772 GN=glsA PE=3 SV=1"	50.0	41	0.03390	161092
"sp|B1KYY3|GLSA_CLOBM Glutaminase OS=Clostridium botulinum (strain Loch Maree / Type A3) OX=498214 GN=glsA PE=3 SV=1"	50.0	41	0.03390	161093
"sp|P65552|GMM_ECO57 GDP-mannose mannosyl hydrolase OS=Escherichia coli O157:H7 OX=83334 GN=gmm PE=3 SV=1"	50.0	41	0.03390	162968
"sp|P65553|GMM_SHIFL GDP-mannose mannosyl hydrolase OS=Shigella flexneri OX=623 GN=gmm PE=3 SV=1"	50.0	41	0.03390	162972
"sp|Q54SH2|GNT13_DICDI Glycosyltransferase-like protein gnt13 OS=Dictyostelium discoideum OX=44689 GN=gnt13 PE=2 SV=1"	50.0	41	0.03390	163399
"sp|P46085|HA70C_CBCP Hemagglutinin components HA-70 type C OS=Clostridium botulinum C phage OX=12336 GN=HA-70 PE=1 SV=1"	50.0	41	0.03390	173145
"sp|P04253|HCY2_LIMPO Hemocyanin II OS=Limulus polyphemus OX=6850 PE=1 SV=2"	50.0	41	0.03390	175108
"sp|Q8BB47|IE2_HHV6G Immediate-early protein 2 OS=Human herpesvirus 6A (strain GS) OX=10369 GN=U90/U86 PE=1 SV=1"	50.0	41	0.03390	194325
"sp|Q77Z83|IE2_HHV6U Immediate-early protein 2 OS=Human herpesvirus 6A (strain Uganda-1102) OX=10370 GN=U90/U87/U86 PE=1 SV=3"	50.0	41	0.03390	194326
"sp|P41381|IF4A8_TOBAC Eukaryotic initiation factor 4A-8 OS=Nicotiana tabacum OX=4097 PE=2 SV=1"	50.0	41	0.03390	196446
"sp|Q40471|IF4A9_TOBAC Eukaryotic initiation factor 4A-9 OS=Nicotiana tabacum OX=4097 PE=2 SV=1"	50.0	41	0.03390	196447
"sp|P40884|IMA5_YEAST Oligo-1,6-glucosidase IMA5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IMA5 PE=2 SV=1"	50.0	41	0.03390	200030
"sp|P19827|ITIH1_HUMAN Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens OX=9606 GN=ITIH1 PE=1 SV=3"	50.0	41	0.03390	206194
"sp|P38994|ITS3_YEAST Phosphatidylinositol 4-phosphate 5-kinase MSS4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MSS4 PE=1 SV=2"	50.0	41	0.03390	206450
"sp|P97927|LAMA4_MOUSE Laminin subunit alpha-4 OS=Mus musculus OX=10090 GN=Lama4 PE=1 SV=2"	50.0	41	0.03390	218499
"sp|Q9R0B6|LAMC3_MOUSE Laminin subunit gamma-3 OS=Mus musculus OX=10090 GN=Lamc3 PE=1 SV=2"	50.0	41	0.03390	218605
"sp|Q7L1W4|LRC8D_HUMAN Volume-regulated anion channel subunit LRRC8D OS=Homo sapiens OX=9606 GN=LRRC8D PE=1 SV=1"	50.0	41	0.03390	231420
